id;date;lang;file
1;2022-06-14T15:53:41;EN;../fake-data/blob/hipster.txt
2;2022-06-13T21:42:55;DE;../fake-data/blob/hipster.txt
3;2022-06-14T19:45:30;EN;../fake-data/blob/hipster.txt
4;2022-06-14T14:29:46;EN;../fake-data/blob/hipster.txt
5;2022-06-14T04:06:20;DE;../fake-data/blob/hipster.txt
6;2022-06-14T18:46:12;FR;../fake-data/blob/hipster.txt
7;2022-06-14T16:26:21;DE;../fake-data/blob/hipster.txt
8;2022-06-14T06:45:55;DE;../fake-data/blob/hipster.txt
9;2022-06-14T15:07:00;FR;../fake-data/blob/hipster.txt
10;2022-06-14T16:53:39;FR;../fake-data/blob/hipster.txt
